GoldPrice,OilPrice,Inflation,ExchangeUS
334.924,96.54,0.14,1.4497
334.657,93.21,-0.07,1.4499
328.993,84.4,0.49,1.4859
329.31,75.79,0.35,1.4643
329.974,59.29,0.35,1.4128
341.948,47.22,0.28,1.4055
367.045,50.58,0.14,1.4314
371.914,47.82,0.14,1.4817
392.034,54.45,0,1.4751
379.795,59.27,0.28,1.4762
355.561,59.82,0.21,1.5344
364.005,50.9,0.41,1.5129
373.939,42.87,0.07,1.5044
383.243,45.48,0,1.4846
387.11,46.22,0.27,1.4366
381.658,42.44,0.34,1.3965
384,37.19,0.34,1.4067
377.908,31.68,0.14,1.3974
381.343,30.32,0.07,1.3806
385.714,37.55,0.34,1.3644
385.45,40.75,0.27,1.3622
380.207,46.71,0.4,1.3512
391.348,48.76,0.27,1.3477
390.164,44.65,0.07,1.3552
384.377,44.72,0.13,1.3247
379.48,45.18,0,1.2922
378.738,49.78,0.4,1.3077
376.745,45.66,0.4,1.3428
381.82,51.97,0.33,1.3615
391.339,52.5,0.33,1.3594
385.231,53.47,0.2,1.3751
387.618,49.33,0.2,1.3897
386.138,51.06,0,1.3738
383.502,48.48,0.26,1.3488
382.931,45.18,0.2,1.3268
383.202,46.63,0.33,1.321
385.209,48.04,-0.07,1.3417
387.445,49.82,-0.07,1.3504
398.695,51.58,0.59,1.3483
404.919,56.64,0.32,1.3235
396.512,57.88,0.52,1.2963
392.87,63.7,0.39,1.2728
391.99,62.23,0.19,1.2547
385.245,62.73,0.06,1.2639
383.457,66.25,0.19,1.2663
387.51,69.98,0.19,1.2771
383.29,67.87,0.32,1.2614
380.909,70.98,0.32,1.2629
377.869,68.06,0.19,1.255
369.338,70.23,0,1.2553
355.025,70.75,0.32,1.286
346.4,56.96,0.31,1.3026
352.311,49.52,0.25,1.2698
344.707,51.38,0.12,1.2842
344.1,54.95,-0.06,1.2902
340.805,58.15,0.12,1.3259
323.78,63.86,0.12,1.3477
323.998,60.83,0.19,1.3506
322.616,54.66,0.25,1.3829
324.863,57.35,0.25,1.3895
306.345,54.81,-0.06,1.4382
288.776,56.95,-0.12,1.5108
289.264,53.96,0.19,1.523
297.743,57.03,0.19,1.4828
295.87,59.88,0.19,1.4934
308.558,57.52,0.18,1.533
298.971,50.54,0.18,1.5843
292.223,29.21,0.12,1.654
292.874,16.55,0.12,1.6181
284.228,13.47,0.12,1.6984
288.661,15.03,0.12,1.6981
296.595,14.46,0.24,1.6184
294.243,13,0,1.5751
291.357,11.35,-0.06,1.6176
287.333,12.52,0.24,1.5823
287.495,12.01,0.12,1.5627
286.243,14.68,0.3,1.5853
282.62,17.31,0.73,1.5576
276.932,17.72,0,1.5088
261.402,17.92,0,1.5237
256.198,20.1,0.3,1.5239
256.936,21.28,0.24,1.5513
264.47,23.8,0.48,1.5396
311.562,22.69,0.18,1.5363
293.65,25,0.06,1.5654
283.743,26.1,0,1.5601
284.59,27.26,0.3,1.5244
300.855,29.37,0.59,1.5929
286.704,29.84,0.82,1.641
279.961,25.72,0.06,1.6779
275.293,28.79,0.12,1.7289
285.368,31.82,0.52,1.681
282.152,29.7,0.23,1.7036
274.523,104.67,0,1.7218
273.676,106.57,0.52,1.8113
270.405,106.29,0.17,1.8939
265.989,100.54,0.06,1.9164
271.892,93.86,-0.06,1.8295
265.934,97.63,0.63,1.8012
262.018,94.62,0.4,1.8734
263.273,100.82,0.23,1.9877
260.75,100.8,0.4,1.9936
272.057,102.07,0.45,1.9234
270.738,102.18,0.17,1.9305
267.707,105.79,-0.28,1.965
272.657,103.59,0,1.9062
282.478,96.54,0.45,1.9857
283.322,93.21,-0.34,1.9833
276.248,84.4,-0.17,1.9361
275.992,75.79,-0.39,1.9463
281.764,59.29,0.23,1.9342
295.683,47.22,0.4,1.9501
294.353,50.58,0.56,1.9026
302.862,47.82,0.56,1.8685
314.48,54.45,0,1.8188
321.536,59.27,0.06,1.7599
313.567,59.82,0.11,1.8057
310.045,50.9,0.33,1.8474
318.8,42.87,0.17,1.8298
316.748,45.48,0.17,1.8175
319.255,46.22,0,1.7816
333.3,42.44,-0.22,1.7781
356.864,37.19,0.44,1.7156
359.575,31.68,0.77,1.679
341.564,30.32,0.6,1.6625
328.208,37.55,-0.22,1.6393
355.405,40.75,-0.16,1.5461
356.912,46.71,0.11,1.5033
350.765,48.76,0.11,1.5135
358.993,44.65,0.38,1.5342
378.859,44.72,0.33,1.5072
379.093,45.18,-0.11,1.4393
390.2,49.78,-0.27,1.397
407.674,45.66,-0.11,1.353
414.495,51.97,0.49,1.2958
404.73,52.5,0.54,1.287
405.976,53.47,0.64,1.334
404.85,49.33,0.32,1.3435
383.953,51.06,0.59,1.4207
391.78,48.48,0.32,1.4415
398.441,45.18,-0.16,1.3965
400.133,46.63,0.05,1.4063
405.402,48.04,0.21,1.4229
420.21,49.82,0.53,1.363
439.059,51.58,0.05,1.298
442.974,56.64,-0.37,1.3029
424.08,57.88,0.21,1.3041
423.43,63.7,0.58,1.2801
434.355,62.23,0.78,1.2742
429.14,62.73,0.67,1.2923
422.903,66.25,-0.1,1.305
430.302,69.98,0.05,1.3043
424.745,67.87,0.46,1.3291
437.773,70.98,0.51,1.3134
455.936,68.06,1.22,1.307
470.107,70.23,0.2,1.3271
476.668,70.75,-0.8,1.36
509.423,56.96,-0.4,1.3472
549.433,49.52,0.76,1.3324
555.518,51.38,0.2,1.3481
557.215,54.95,0.55,1.3763
611.853,58.15,0.85,1.357
676.769,63.86,0.5,1.3091
597.898,60.83,0.2,1.3515
633.093,54.66,0.3,1.3284
631.557,57.35,0.2,1.3104
600.15,54.81,-0.49,1.3247
586.648,56.95,-0.54,1.3256
626.825,53.96,-0.15,1.294
629.513,57.03,0.15,1.2726
630.352,59.88,0.31,1.2778
665.103,57.52,0.54,1.2771
655.891,50.54,0.91,1.2607
680.008,29.21,0.65,1.2088
668.31,16.55,0.61,1.2115
655.714,42.44,0.19,1.1872
665.266,37.19,-0.03,1.1525
664.53,31.68,-0.18,1.2061
710.645,30.32,0.28,1.1819
754.48,37.55,0.21,1.1116
808.311,40.75,0.59,1.1159
803.618,46.71,-0.07,1.1469
887.784,48.76,0.5,1.1334
924.283,44.65,0.29,1.0949
971.055,44.72,0.87,1.0845
911.6,45.18,0.61,1.0742
889.125,49.78,0.84,1.0535
889.536,45.66,1.01,1.0514
941.167,51.97,0.53,1.0395
840.388,52.5,-0.4,1.1344
824.92,53.47,-0.14,1.2243
812.815,49.33,-1.01,1.4556
757.85,51.06,-1.92,1.5172
819.94,48.48,-1.03,1.4883
857.726,45.18,0.44,1.4806
939.763,46.63,0.5,1.5375
925.989,48.04,0.24,1.5002
892.663,49.82,0.25,1.397
926.855,51.58,0.29,1.3075
947.807,56.64,0.86,1.2461
934.272,57.88,-0.16,1.2424
949.5,63.7,0.22,1.1972
996.443,62.23,0.06,1.1598
1043.511,62.73,0.1,1.1029
1126.119,66.25,0.07,1.0873
1135.012,69.98,-0.18,1.1085
1119.575,67.87,0.34,1.0957
1095.8,70.98,0.02,1.1291
1115.554,68.06,0.41,1.0961
1148.475,70.23,0.17,1.0797
1204.321,70.75,0.08,1.1477
1232.382,56.96,-0.1,1.1711
1196,49.52,0.02,1.1382
1213.464,51.38,0.14,1.1106
1271.461,54.95,0.06,1.0641
1343.19,58.15,0.12,1.0185
1371.784,63.86,0.04,1.0112
1393.512,60.83,0.17,1.0072
1360.475,54.66,0.48,1.0038
1371.313,57.35,0.49,0.9917
1422.848,54.81,0.98,0.9888
1474.431,56.95,0.64,0.9445
1512.188,53.96,0.47,0.9368
1528.38,57.03,-0.11,0.9419
1568.526,59.88,0.09,0.9276
1759.5,57.52,0.28,0.9522
1780.648,50.54,0.15,0.9785
1667.893,29.21,-0.21,0.9835
1735.977,16.55,-0.08,0.9889
1652.725,47.82,-0.25,0.9879
1656.095,54.45,0.44,0.9602
1743.095,59.27,0.44,0.9318
1675.057,59.82,0.76,0.95
1648.539,50.9,0.3,0.9662
1585.114,42.87,-0.12,1.002
1595.632,45.48,-0.15,1.0014
1592.784,46.22,-0.16,0.9709
1625.682,42.44,0.56,0.9547
1741.925,37.19,0.45,0.961
1746.348,31.68,-0.04,0.9711
1724.352,30.32,-0.47,0.9611
1687.342,37.55,-0.27,0.9556
1671.886,40.75,0.3,0.9524
1630.688,46.71,0.82,0.9699
1591.013,48.76,0.26,0.9667
1485.905,44.65,-0.1,0.9634
1416.143,44.72,0.18,1.0082
1342.7,45.18,0.24,1.0593
1284.348,49.78,0.04,1.0923
1345.048,45.66,0.12,1.1066
1348.464,51.97,0.12,1.0749
1314.402,52.5,-0.26,1.0505
1277.417,53.47,-0.2,1.0725
1221.588,49.33,-0.01,1.1136
1243.068,51.06,0.37,1.1289
